Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Yamuna,T12,15-09-2025,TRUE,TRUE,TRUE,23-04-2026,19-02-2026,09-11-2026,open,2,2,09-05-2024,FALSE,,0,0,0,11798,4648,29305525228.943333,85,95,FALSE,0,,14-04-2023,9,0,1,2,1,176572.88,0,0,149,412,212,-496,30,0,0,1,171.89138576962876,6,0,6
Sarayu,T04,15-09-2025,TRUE,TRUE,TRUE,09-21-2026,14-03-2026,10-08-2026,open,1,5,15-06-2025,TRUE,KMM-RLJ-WRP-25-03,388,320,16,386655,9466,29305525228.943333,45,3,TRUE,0,BAY_02,30-04-2023,10,2,3,1,0.9625,198284.12,1,2,172,321,9993,-94,30,0,1,1,76.34271938197307,16,0,6
Ganga,T24,15-09-2025,TRUE,TRUE,TRUE,05-05-2026,22-11-2026,16-03-2026,open,0,7,04-05-2025,TRUE,KMM-RLJ-WRP-25-12,366,320,16,47020,400,29305525228.943333,42,37,TRUE,0,BAY_07,11-04-2023,3,1,2,1,0.99375,141350.88,1,1,425,174,224,-136,30,0,1,1,93.63886298284322,9,0,6
Jhanavi,T07,15-09-2025,TRUE,TRUE,TRUE,03-08-2026,27-05-2026,01-12-2026,open,0,1,23-08-2024,TRUE,KMM-RLJ-WRP-25-04,378,320,16,224811,0,29305525228.943333,91,65,FALSE,0,,15-07-2024,1,0,1,1,0.93125,36440.119999999995,0,0,246,434,314,-390,30,0,1,1,75.51021236344488,18,0,6
Shiriya,T17,15-09-2025,TRUE,TRUE,TRUE,22-10-2026,03-12-2026,14-11-2026,open,0,2,05-11-2024,TRUE,KMM-RLJ-WRP-25-09,382,320,16,172238,0,29305525228.943333,21,13,TRUE,0,BAY_03,31-10-2024,2,1,2,1,0.99375,16132.880000000005,1,1,436,417,394,-316,30,0,1,1,83.44564715062944,11,0,6
Vaayu,T15,15-09-2025,TRUE,TRUE,TRUE,09-08-2026,13-06-2026,27-07-2026,open,2,5,05-09-2025,TRUE,KMM-RLJ-WRP-25-08,339,320,16,78008,8291,29305525228.943333,69,99,TRUE,0,BAY_09,23-09-2024,2,3,3,2,0.909375,110362.88,1,3,263,307,320,-12,30,0,1,1,88.9703157863254,10,2,6
Vaigai,T06,15-09-2025,TRUE,TRUE,TRUE,14-11-2026,19-07-2026,23-06-2026,open,1,7,28-07-2025,FALSE,,0,0,0,350009,3848,29305525228.943333,73,28,TRUE,0,BAY_05,11-04-2023,15,0,1,1,1,161638.12,1,0,299,273,417,-51,30,0,0,1,67.80262587140749,19,0,6
Godhavari,T23,15-09-2025,TRUE,TRUE,TRUE,18-12-2026,14-08-2026,05-09-2026,open,2,2,17-06-2024,TRUE,KMM-RLJ-WRP-25-11,352,320,0,254329,1736,29305525228.943333,79,72,TRUE,0,BAY_10,07-06-2023,11,0,1,1,1,65958.12,1,0,325,347,451,-457,30,0,1,1,82.52725437910316,12,0,6
Sabarmathi,T22,15-09-2025,TRUE,TRUE,FALSE,28-04-2026,30-07-2026,11-09-2025,open,0,5,19-05-2024,TRUE,KMM-RLJ-WRP-25-10,320,320,0,405084,0,29305525228.943333,46,90,FALSE,0,,18-03-2023,8,1,2,2,1,216713.12,0,1,310,-12,217,-486,-914,0,1,1,66.187031240706,20,1,6
Krishna,T01,15-09-2025,FALSE,TRUE,FALSE,12-08-2025,01-03-2026,10-07-2025,open,1,7,17-03-2023,TRUE,KMM-RLJ-WRP-25-01,288,320,16,4759,0,29305525228.943333,40,59,TRUE,0,BAY_08,05-08-2023,15,0,1,3,0.9,183611.88,1,0,159,-75,-42,-915,-774,0,1,1,349.51933319959886,2,1,6
Kabani,T14,15-09-2025,FALSE,FALSE,FALSE,20-11-2024,05-12-2024,18-01-2025,open,3,1,30-08-2025,FALSE,,0,0,0,9615,1289,29305525228.943333,0,71,FALSE,0,,05-08-2023,16,1,2,3,1,178755.88,0,1,-292,-248,-307,-18,-774,0,0,1,179.4351634304066,5,1,6
Padma,T10,15-09-2025,FALSE,TRUE,FALSE,29-07-2025,03-03-2026,02-05-2025,open,0,1,12-08-2025,FALSE,,0,0,0,3584,0,29305525228.943333,56,89,TRUE,0,BAY_06,19-11-2023,12,0,1,3,1,184786.88,1,0,161,-144,-56,-36,-668,0,0,1,429.78718496483765,1,1,6
Periyar,T13,15-09-2025,FALSE,FALSE,FALSE,15-01-2025,28-02-2025,12-03-2025,open,2,1,12-01-2025,TRUE,KMM-RLJ-WRP-25-07,312,320,16,247502,0,29305525228.943333,55,35,TRUE,0,BAY_04,19-07-2024,8,0,1,4,0.975,59131.119999999995,1,0,-207,-195,-251,-248,-425,0,1,1,56.86717988465308,24,1,6
Dhwanil,T08,15-09-2025,FALSE,TRUE,FALSE,18-04-2025,15-01-2026,20-06-2025,open,4,1,24-09-2025,FALSE,,0,0,0,338079,2314,29305525228.943333,84,5,TRUE,0,BAY_01,13-08-2023,3,2,3,4,1,149708.12,1,2,114,-95,-158,7,-766,1,0,1,59.26635443656592,23,1,6
Maarut,T21,15-09-2025,TRUE,FALSE,FALSE,06-03-2026,09-06-2025,25-08-2025,open,3,5,13-05-2026,FALSE,,0,0,0,481407,0,29305525228.943333,98,96,FALSE,0,,12-09-2024,13,0,1,4,1,293036.12,0,0,-106,-29,164,238,-370,0,0,1,53.23311517601678,25,1,6
